subject,stim1,stim2,resp,rt,freq,type,procedure,trial,rem,fam,new,acc
3,tomato.pict,POISON,LowPicLowWord,802,Low,NA,study,33,0,0,0,NA
3,cheese.pict,WHEEL,LowPicHighWord,663,High,NA,study,34,0,0,0,NA
3,flag4.pict,PAPER,HighPicHighWord,625,High,NA,study,35,0,0,0,NA
3,strawberry2.pict,RECORD,LowPicHighWord,565,High,NA,study,36,0,0,0,NA
3,iron.pict,HOTEL,HighPicHighWord,830,High,NA,study,37,0,0,0,NA
3,pencil.pict,CHILDREN,HighPicHighWord,711,High,NA,study,38,0,0,0,NA
3,balloons.pict,CROWD,LowPicHighWord,675,High,NA,study,39,0,0,0,NA
3,pepper.pict,STEEPLE,HighPicLowWord,955,Low,NA,study,40,0,0,0,NA
3,duck.pict,NA,FAM,1824,Low,old,test,41,0,1,0,1
3,car.pict,NA,NEW,1392,NA,new,test,42,0,0,1,1
3,accordion.pict,NA,REM,1200,Low,old,test,43,1,0,0,1
3,cat.pict,NA,FAM,1552,NA,new,test,44,0,1,0,0
3,camera.pict,NA,REM,1497,High,old,test,45,1,0,0,1
3,skates.pict,NA,NEW,861,NA,new,test,46,0,0,1,1
3,pineapple.pict,NA,REM,686,High,old,test,47,1,0,0,1
3,scissors.pict,NA,FAM,1023,Low,old,test,48,0,1,0,1
3,raspberry.pict,NA,NEW,962,NA,new,test,49,0,0,1,1
3,sock.pict,NA,NEW,962,NA,new,test,50,0,0,1,1
3,pepper.pict,NA,FAM,1275,Low,old,test,51,0,1,0,1
3,drum2.pict,NA,FAM,2308,Low,old,test,52,0,1,0,1
3,mushroom.pict,NA,NEW,938,NA,new,test,53,0,0,1,1
3,squash.pict,NA,NEW,1397,High,old,test,54,0,0,1,0
3,keyboard.pict,NA,REM,1458,Low,old,test,55,1,0,0,1
3,bike.pict,NA,NEW,753,NA,new,test,56,0,0,1,1
3,chair2.pict,NA,NEW,685,NA,new,test,57,0,0,1,1
3,dog.pict,NA,NEW,800,NA,new,test,58,0,0,1,1
3,tiger.pict,NA,NEW,767,NA,new,test,59,0,0,1,1
3,pencil.pict,NA,REM,1603,High,old,test,60,1,0,0,1
3,pumpkins.pict,NA,NEW,784,NA,new,test,61,0,0,1,1
3,bacon.pict,NA,NEW,750,NA,new,test,62,0,0,1,1
3,binoculars.pict,NA,NEW,705,NA,new,test,63,0,0,1,1
3,guitar.pict,NA,FAM,1492,NA,new,test,64,0,1,0,0
3,briefcase.pict,NA,REM,1249,High,old,test,65,1,0,0,1
