"encodingtask","study_rating","cond","testtria","studytria","stim1","stim2","responsecode","response","list","subject","cuefreq","targetfreq","bothfreq","CuedRecall","procedure","trial","duration","onset"
2,3,1,4,1,"virile","urns",2,"no",3,2,"LF","LF","LF",0,"study",81,3000,540000
2,6,4,1,2,"moll","moon",1,"moon",3,2,"LF","HF","MF",1,"study",82,3000,543000
2,7,3,10,3,"everybody","wadded",2,"no",3,2,"HF","LF","MF",0,"study",83,3000,546000
2,2,1,9,4,"dearth","poncho",2,"no",3,2,"LF","LF","LF",0,"study",84,3000,549000
2,4,2,19,5,"brought","index",1,"index",3,2,"HF","HF","HF",1,"study",85,3000,552000
2,7,3,12,6,"leading","blocky",1,"blocky",3,2,"HF","LF","MF",1,"study",86,3000,555000
2,5,3,20,7,"beat","neared",2,"no",3,2,"HF","LF","MF",0,"study",87,3000,558000
2,4,1,11,8,"rebuke","combed",2,"no",3,2,"LF","LF","LF",0,"study",88,3000,561000
2,7,2,13,9,"examples","edge",1,"edge",3,2,"HF","HF","HF",1,"study",89,3000,564000
2,3,4,14,10,"beets","flat",1,"flat",3,2,"LF","HF","MF",1,"study",90,3000,567000
2,2,2,18,11,"sign","several",1,"several",3,2,"HF","HF","HF",1,"study",91,3000,570000
2,2,4,2,12,"palmed","tests",1,"tests",3,2,"LF","HF","MF",1,"study",92,3000,573000
2,5,4,3,13,"welter","increase",2,"no",3,2,"LF","HF","MF",0,"study",93,3000,576000
2,6,1,6,14,"secede","lapels",1,"lapels",3,2,"LF","LF","LF",1,"study",94,3000,579000
2,5,2,5,15,"spot","seemed",2,"no",3,2,"HF","HF","HF",0,"study",95,3000,582000
2,5,3,8,16,"take","operetta",2,"no",3,2,"HF","LF","MF",0,"study",96,3000,585000
2,3,3,15,17,"systems","homers",2,"no",3,2,"HF","LF","MF",0,"study",97,3000,588000
2,5,1,16,18,"sordid","upland",2,"no",3,2,"LF","LF","LF",0,"study",98,3000,591000
2,6,2,17,19,"industry","surface",2,"no",3,2,"HF","HF","HF",0,"study",99,3000,594000
2,6,4,7,20,"toot","thick",1,"thick",3,2,"LF","HF","MF",1,"study",100,63000,597000
2,6,4,1,2,"moll",NA,1,"moon",3,2,"LF","HF","MF",1,"test",101,3000,660000
2,2,4,2,12,"palmed",NA,1,"tests",3,2,"LF","HF","MF",1,"test",102,3000,663000
2,5,4,3,13,"welter",NA,2,"no",3,2,"LF","HF","MF",0,"test",103,3000,666000
2,3,1,4,1,"virile",NA,2,"no",3,2,"LF","LF","LF",0,"test",104,3000,669000
2,5,2,5,15,"spot",NA,2,"no",3,2,"HF","HF","HF",0,"test",105,3000,672000
2,6,1,6,14,"secede",NA,1,"lapels",3,2,"LF","LF","LF",1,"test",106,3000,675000
2,6,4,7,20,"toot",NA,1,"thick",3,2,"LF","HF","MF",1,"test",107,3000,678000
2,5,3,8,16,"take",NA,2,"no",3,2,"HF","LF","MF",0,"test",108,3000,681000
2,2,1,9,4,"dearth",NA,2,"no",3,2,"LF","LF","LF",0,"test",109,3000,684000
2,7,3,10,3,"everybody",NA,2,"no",3,2,"HF","LF","MF",0,"test",110,3000,687000
