"encodingtask","study_rating","list","testtria","studytria","stim1","stim2","responsecode","subject","cuefreq","targetfreq","bothfreq","CuedRecall","procedure","trial","duration","onset"
2,8,2,1,16,"song",NA,1,2,"HF","HF","HF",1,"test",61,3000,390000
2,5,2,2,5,"seemed",NA,2,2,"HF","HF","HF",0,"test",62,3000,393000
2,3,2,3,14,"desk",NA,2,2,"HF","HF","HF",0,"test",63,3000,396000
2,8,2,4,17,"nearly",NA,1,2,"HF","HF","HF",1,"test",64,3000,399000
2,9,2,5,18,"reported",NA,1,2,"HF","HF","HF",1,"test",65,3000,402000
2,6,2,6,15,"initial",NA,1,2,"HF","HF","HF",1,"test",66,3000,405000
2,5,2,7,19,"provided",NA,1,2,"HF","HF","HF",1,"test",67,3000,408000
2,9,2,8,20,"shop",NA,1,2,"HF","HF","HF",1,"test",68,3000,411000
2,5,2,9,3,"eyes",NA,1,2,"HF","HF","HF",1,"test",69,3000,414000
2,1,2,10,4,"chemical",NA,2,2,"HF","HF","HF",0,"test",70,3000,417000
2,8,2,11,6,"independ",NA,0,2,"HF","HF","HF",0,"test",71,3000,420000
2,8,2,12,7,"membersh",NA,1,2,"HF","HF","HF",1,"test",72,3000,423000
2,8,2,13,9,"ball",NA,1,2,"HF","HF","HF",1,"test",73,3000,426000
2,5,2,14,10,"sure",NA,2,2,"HF","HF","HF",0,"test",74,3000,429000
2,3,2,15,11,"increase",NA,2,2,"HF","HF","HF",0,"test",75,3000,432000
2,4,2,16,1,"door",NA,0,2,"HF","HF","HF",0,"test",76,3000,435000
2,3,2,17,2,"cross",NA,2,2,"HF","HF","HF",0,"test",77,3000,438000
2,6,2,18,8,"equal",NA,1,2,"HF","HF","HF",1,"test",78,3000,441000
2,3,2,19,12,"exist",NA,2,2,"HF","HF","HF",0,"test",79,3000,444000
2,6,2,20,13,"activity",NA,1,2,"HF","HF","HF",1,"test",80,93000,447000
2,2,3,10,1,"formula","keenly",0,2,"HF","LF","MF",0,"study",81,3000,540000
2,2,3,3,2,"built","unsung",2,2,"HF","LF","MF",0,"study",82,3000,543000
2,3,3,19,3,"perfect","baseman",2,2,"HF","LF","MF",0,"study",83,3000,546000
2,2,3,5,4,"taste","cinders",2,2,"HF","LF","MF",0,"study",84,3000,549000
2,3,3,16,5,"rooms","uncritic",2,2,"HF","LF","MF",0,"study",85,3000,552000
2,3,3,11,6,"somehow","bisque",2,2,"HF","LF","MF",0,"study",86,3000,555000
2,2,3,15,7,"town","sunburn",0,2,"HF","LF","MF",0,"study",87,3000,558000
2,5,3,1,8,"individu","tactful",2,2,"HF","LF","MF",0,"study",88,3000,561000
2,3,3,17,9,"really","twos",2,2,"HF","LF","MF",0,"study",89,3000,564000
2,2,3,2,10,"upper","odors",1,2,"HF","LF","MF",1,"study",90,3000,567000
2,4,3,18,11,"walking","bawled",2,2,"HF","LF","MF",0,"study",91,3000,570000
2,2,3,20,12,"cell","lagoons",1,2,"HF","LF","MF",1,"study",92,3000,573000
2,5,3,4,13,"academic","tiled",2,2,"HF","LF","MF",0,"study",93,3000,576000
2,4,3,6,14,"industry","easel",2,2,"HF","LF","MF",0,"study",94,3000,579000
2,5,3,9,15,"warm","gashes",0,2,"HF","LF","MF",0,"study",95,3000,582000
2,2,3,7,16,"vote","erupt",1,2,"HF","LF","MF",1,"study",96,3000,585000
2,3,3,12,17,"heavy","revulsio",2,2,"HF","LF","MF",0,"study",97,3000,588000
2,3,3,8,18,"chosen","lemma",2,2,"HF","LF","MF",0,"study",98,3000,591000
