,duration,freq,list,onset,procedure,sp,stim1,study_duration,subject,trial,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,wmAvailable,wmSpent,hits_pred,hits
65,0.4,lf,context1,39.60099999999999,study,66.0,narrower,,0,66,narrower.context1.,0.0,0.0,0.20737831993466485,1.0,1.0,True,narrower.context1.,True,1.0,0.204351952989758,0.866121286720365,0.707537518773082,0.3817028945355114,
66,0.4,lf,context1,40.00099999999999,study,67.0,debugged,,0,67,debugged.context1.,0.0,0.0,0.0,1.0,1.0,True,debugged.context1.,True,0.9464450197600663,0.2003996002665334,0.5565837679472816,0.5565837679472816,0.3817028945355114,
67,0.55,lf,context1,40.55099999999999,study,68.0,suitcases,,0,68,suitcases.context1.,0.0,0.0,0.0,1.0,1.0,True,suitcases.context1.,True,0.9730432076305415,0.23327973191685294,0.5472499999999971,0.5472499999999971,0.3817028945355114,
68,0.85,lf,context1,41.40099999999999,study,69.0,parietal,,0,69,parietal.context1.,0.0,0.0,0.20183597000697678,1.0,1.0,True,parietal.context1.,True,1.0,0.2091825204819258,0.8457500000000014,0.695529514466828,0.3817028945355114,
69,0.4,lf,context1,41.80099999999999,study,70.0,alguacil,,0,70,alguacil.context1.,0.0,0.0,0.0,1.0,1.0,True,alguacil.context1.,True,0.9408187285534598,0.2003996002665334,0.548220485533172,0.548220485533172,0.3817028945355114,
70,0.55,lf,context1,42.350999999999985,study,71.0,televangelists,,0,71,televangelists.context1.,0.0,0.0,0.0,1.0,1.0,True,televangelists.context1.,True,0.940163075980222,0.2003996002665334,0.5472499999999971,0.5472499999999971,0.3817028945355114,
71,0.85,lf,context1,43.200999999999986,study,72.0,formally,,0,72,formally.context1.,0.0,0.0,0.22229811668984736,1.0,1.0,True,formally.context1.,True,1.0,0.23755859265761223,0.8457500000000014,0.6635268307282935,0.3817028945355114,
72,0.55,hf,context1,43.75099999999998,study,73.0,lock,,0,73,lock.context1.,0.0,0.0,0.26942201108935804,1.0,1.0,True,lock.context1.,True,1.0,0.39930140397281694,0.729473169271705,0.4618041078025416,0.3817028945355114,
73,0.85,hf,context1,44.600999999999985,study,74.0,prove,,0,74,prove.context1.,0.0,0.0,0.3851450448527826,1.0,1.0,True,prove.context1.,True,1.0,0.3998245993745941,1.1134190614691648,0.5664274596626361,0.3817028945355114,
74,0.4,hf,context1,45.00099999999998,study,75.0,perfect,,0,75,perfect.context1.,0.0,0.0,0.33943143500605905,1.0,1.0,True,perfect.context1.,True,1.0,0.3999999742398706,0.9449916018065273,0.5201410864848977,0.3817028945355114,
75,0.4,hf,context1,45.40099999999998,study,76.0,kick,,0,76,kick.context1.,0.0,0.0,0.301867804301646,1.0,1.0,True,kick.context1.,True,1.0,0.399870319641032,0.8228505153216282,0.48683013374913364,0.3817028945355114,
76,0.4,lf,context1,45.80099999999998,study,77.0,swansdown,,0,77,swansdown.context1.,0.0,0.0,0.13205922070409837,1.0,1.0,True,swansdown.context1.,True,1.0,0.2003996002665334,0.7340203815724932,0.6697117172846524,0.3817028945355114,
77,0.4,hf,context1,46.20099999999998,study,78.0,orders,,0,78,orders.context1.,0.0,0.0,0.14158042895070508,1.0,1.0,True,orders.context1.,True,1.0,0.39956772038079735,0.46230866428783934,0.38839266092220975,0.3817028945355114,
