,Unnamed: 0,subject,stim1,stim2,freq,triatype,procedure,trial,rt,source,freq_prioritem1,freq_prioritem,freq_prioritem2,freq_prioritem3,freq_consec_value,freq_consec_lab,resp,rem,know,new,acc,duration,onset,list,old,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,old_pred
57,178,2,mushroom.pict,nan,low,old,test,58,845,original,low,low,high,low,-0.5,low1,rem,1.0,0.0,0.0,1.0,2345,436.734,context1,1.0,context1.mushroom.pict.nan.,0.11115098525393992,0.2717154451889045,0.0,1.0,1.0,True,context1.mushroom.pict.tailor.,False,1.0,0.49020081163223306,0.3,0.3,3.0,1.0662241671685448,0.8698590849870069
58,179,2,dog.pict,nan,low,old,test,59,1220,original,high,high,low,low,0.5,high1,new,0.0,0.0,1.0,0.0,2720,439.07899999999995,context1,0.0,context1.dog.pict.nan.,0.11076680564026323,0.2711609364153782,0.0,1.0,1.0,True,context1.dog.pict.poster.,False,1.0,0.4898126554907647,0.3,0.3,3.0,1.0668727376562508,0.8653384010373157
62,183,2,sock.pict,nan,high,old,test,63,1045,original,low,low,high,high,-0.5,low1,rem,1.0,0.0,0.0,1.0,2545,449.712,context1,1.0,context1.sock.pict.nan.,0.11338545349898234,0.2762535941924022,0.0,1.0,1.0,True,context1.sock.pict.chief.,False,1.0,0.4933775159346815,0.3,0.3,3.0,1.060929320532248,0.8940692733255413
64,185,2,knife.pict,nan,high,old,test,65,1339,original,high,high,low,low,0.5,high1,fam,0.0,1.0,0.0,1.0,2839,454.589,context1,1.0,context1.knife.pict.nan.,0.1079330634054898,0.2669425878663533,0.0,1.0,1.0,True,context1.knife.pict.board.,False,1.0,0.48685981150644725,0.3,0.3,3.0,1.0718287446031827,0.8286812326476443
68,189,2,flag4.pict,nan,high,old,test,69,1130,original,high,high,high,low,1.5,high2,rem,1.0,0.0,0.0,1.0,2630,465.457,context1,1.0,context1.flag4.pict.nan.,0.11148955591641505,0.2736042537061858,0.0,1.0,1.0,True,context1.flag4.pict.morning.,False,1.0,0.49152297759433006,0.3,0.3,3.0,1.0640174194966274,0.8737550921261371
70,191,2,raspberry.pict,nan,low,old,test,71,1549,original,low,low,high,low,-0.5,low1,rem,1.0,0.0,0.0,1.0,3049,470.808,context1,1.0,context1.raspberry.pict.nan.,0.10739022826193284,0.26660523300825106,0.0,1.0,1.0,True,context1.raspberry.pict.minstrel.,False,1.0,0.48662366310577576,0.3,0.3,3.0,1.0722279586046002,0.8209912092621986
72,193,2,salad.pict,nan,high,old,test,73,1055,original,high,high,low,low,0.5,high1,rem,1.0,0.0,0.0,1.0,2555,476.84999999999997,context1,1.0,context1.salad.pict.nan.,0.10883046959029573,0.26930772092743877,0.0,1.0,1.0,True,context1.salad.pict.dress.,False,1.0,0.48851540464920706,0.3,0.3,3.0,1.0690490374632544,0.840923523841699
74,195,2,guitar.pict,nan,high,old,test,75,1044,original,high,high,high,high,2.5,high3,rem,1.0,0.0,0.0,1.0,2544,482.575,context1,1.0,context1.guitar.pict.nan.,0.1086435386131608,0.269139819187744,0.0,1.0,1.0,True,context1.guitar.pict.smile.,False,1.0,0.4883978734314207,0.3,0.3,3.0,1.0692466438464558,0.8384218900613923
75,196,2,drum2.pict,nan,low,old,test,76,1383,original,low,low,low,high,-1.5,low2,rem,1.0,0.0,0.0,1.0,2883,485.11899999999997,context1,1.0,context1.drum2.pict.nan.,0.10777935613056595,0.2676419468928755,0.0,1.0,1.0,True,context1.drum2.pict.napkin.,False,1.0,0.48734936282501284,0.3,0.3,3.0,1.0710061269757616,0.826525495146754
78,199,2,violin.pict,nan,low,old,test,79,942,original,high,high,high,high,2.5,high3,rem,1.0,0.0,0.0,1.0,2442,495.405,context1,1.0,context1.violin.pict.nan.,0.10510305381279114,0.26317870564218365,0.0,1.0,1.0,True,context1.violin.pict.satin.,False,1.0,0.4842250939495285,0.3,0.3,3.0,1.07627847249636,0.7862613710000372
82,203,2,pineapple.pict,nan,low,old,test,83,1650,original,high,high,high,high,2.5,high3,fam,0.0,1.0,0.0,1.0,3150,508.955,context1,1.0,context1.pineapple.pict.nan.,0.10809191023956789,0.26866227335134457,0.0,1.0,1.0,True,context1.pineapple.pict.stair.,False,1.0,0.4880635913459412,0.3,0.3,3.0,1.0698078291611923,0.8308909765785779
83,204,2,butterfly.pict,nan,high,old,test,84,1155,original,low,low,low,low,-3.5,low4,rem,1.0,0.0,0.0,1.0,2655,512.105,context1,1.0,context1.butterfly.pict.nan.,0.10487633923169995,0.2630377209404478,0.0,1.0,1.0,True,context1.butterfly.pict.wheel.,False,1.0,0.4841264046583134,0.3,0.3,3.0,1.0764445127337978,0.7826171881904197
84,205,2,cheese.pict,nan,high,old,test,85,1001,original,high,high,high,low,1.5,high2,rem,1.0,0.0,0.0,1.0,2501,514.76,context1,1.0,context1.cheese.pict.nan.,0.10378353781505029,0.26112090193947035,0.0,1.0,1.0,True,context1.cheese.pict.hospital.,False,1.0,0.48278463135762917,0.3,0.3,3.0,1.0787167176432941,0.7645562436824171
85,206,2,grill.pict,nan,high,old,test,86,1043,original,high,high,high,high,3.5,high4,rem,1.0,0.0,0.0,1.0,2543,517.261,context1,1.0,context1.grill.pict.nan.,0.10641167203229238,0.26582073572958337,0.0,1.0,1.0,True,context1.grill.pict.paper.,False,1.0,0.4860745150107083,0.3,0.3,3.0,1.0731523838622004,0.806589702910476
86,207,2,stereo.pict,nan,high,old,test,87,1773,original,low,low,low,high,-1.5,low2,fam,0.0,1.0,0.0,1.0,3273,519.804,context1,1.0,context1.stereo.pict.nan.,0.10379439709847715,0.2612421472353672,0.0,1.0,1.0,True,context1.stereo.pict.letter.,False,1.0,0.482869503064757,0.3,0.3,3.0,1.078572337219831,0.7647396986457142
90,211,2,gloves.pict,nan,high,old,test,91,1190,original,high,high,low,low,0.5,high1,rem,1.0,0.0,0.0,1.0,2690,530.6809999999999,context1,1.0,context1.gloves.pict.nan.,0.10414671526426815,0.262076823611988,0.0,1.0,1.0,True,context1.gloves.pict.mouth.,False,1.0,0.48345377652839155,0.3,0.3,3.0,1.077581915118248,0.7706486965451703
92,213,2,strawberry2.pict,nan,low,old,test,93,1229,original,low,low,high,low,-0.5,low1,fam,0.0,1.0,0.0,1.0,2729,536.1759999999999,context1,1.0,context1.strawberry2.pict.nan.,0.10562239040990443,0.2648140716200157,0.0,1.0,1.0,True,context1.strawberry2.pict.bouquet.,False,1.0,0.4853698501340109,0.3,0.3,3.0,1.0743421678582925,0.794473741618426
93,214,2,calculator.pict,nan,low,old,test,94,2434,original,high,high,high,high,3.5,high4,fam,0.0,1.0,0.0,1.0,3934,538.905,context1,1.0,context1.calculator.pict.nan.,0.10504677326160443,0.26383138446112336,0.0,1.0,1.0,True,context1.calculator.pict.paste.,False,1.0,0.4846819691227863,0.3,0.3,3.0,1.0755039102864052,0.7853600597113697
94,215,2,bowl.pict,nan,low,old,test,95,1259,original,high,high,low,nan,0.5,high1,new,0.0,0.0,1.0,0.0,2759,542.8389999999999,context1,0.0,context1.bowl.pict.nan.,0.10163305004078449,0.25781724735731176,0.0,1.0,1.0,True,context1.bowl.pict.morphine.,False,1.0,0.4804720731501182,0.3,0.3,3.0,1.0826507539430748,0.726715967920843
