,subject,group,condition,list,stim1,stim2,free_recall_acc,cued_recall_acc,cue_type,trial,cue_type_prioritem1,cue_type_prioritem2,cue_type_prioritem3,cue_type_prioritem4,cue_type_consec_value,cue_type_consec_lab,procedure,testtria,response,duration,extra,onset,epiname,epiA_cued_recall,epiA_free_recall,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,cued_recall_acc_pred,free_recall_acc_pred
56,1,a,reh+att,contextc1,funktion,nan,0,0,tbr,57,tbr,tbr,tbr,tbf,2.5,tbr3,test,9,nan,3000,0,156.001,funktion.nan.contextc1.,0.776964976,0.15765992,0.303645868,0,1,0.988448783,TRUE,funktion.dorf.contextc1.,FALSE,1,0.5710013,0.3,0.3,3,0.789418888,0.245736983,0.150392327
57,1,a,reh+att,contextc1,idee,nan,0,1,tbr,58,tbr,tbf,tbf,tbf,0.5,tbr1,test,10,morgen,3000,0,159.001,idee.nan.contextc1.,0.850786455,0.902696962,0.384312035,0,1,0.989095056,TRUE,idee.morgen.contextc1.,FALSE,1,0.569018425,0.3,0.3,3,0.79198846,0.374717674,0.207102672
58,1,a,reh+att,contextc1,industrie,nan,0,0,tbr,59,tbf,tbf,tbf,tbr,-2.5,tbf3,test,11,produkt,3000,0,162.001,industrie.nan.contextc1.,0.85690326,0.989555018,0.388888509,0,1,0.989617495,TRUE,industrie.artikel.contextc1.,FALSE,1,0.572221956,0.3,0.3,3,0.787825299,0.386350583,0.21445069
59,1,a,reh+att,contextc1,chef,nan,0,1,tbr,60,tbf,tbr,tbf,tbr,-0.5,tbf1,test,12,acker,3000,0,165.001,chef.nan.contextc1.,0.88320548,1.493248439,0.407297198,0,1,0.990052123,TRUE,chef.acker.contextc1.,FALSE,1,0.585108038,0.3,0.3,3,0.771410819,0.437417747,0.259939846
49,1,a,reh+att,contextc2,theater,nan,0,1,tbr,50,tbr,nan,nan,nan,0.5,tbr1,test,2,zeitung,3000,0,135.001,theater.nan.contextc2.,0.864428111,1.167712603,0.388888509,0,1,0.95014056,TRUE,theater.zeitung.contextc2.,FALSE,1,0.572221956,0.3,0.3,3,0.789041077,0.400801627,0.229987807
50,1,a,reh+att,contextc2,zeit,nan,0,0,tbr,51,tbr,tbr,tbr,tbf,2.5,tbr3,test,3,nan,3000,0,138.001,zeit.nan.contextc2.,0.729672386,0.040633455,0.234695288,0,1,0.969621961,TRUE,zeit.ventil.contextc2.,FALSE,1,0.532075339,0.3,0.3,3,0.842584427,0.17771896,0.142527704
51,1,a,reh+att,contextc2,kultur,nan,0,1,tbr,52,tbr,tbf,tbf,tbr,0.5,tbr1,test,4,bedeutung,3000,0,141.001,kultur.nan.contextc2.,0.875213789,1.078264359,0.385333744,0,1,0.978014184,TRUE,kultur.bedeutung.contextc2.,FALSE,1,0.597133686,0.3,0.3,3,0.756745805,0.42174903,0.222109503
52,1,a,reh+att,contextc2,wasser,nan,0,1,tbr,53,tbr,tbf,tbf,tbf,0.5,tbr1,test,5,brief,3000,0,144.001,wasser.nan.contextc2.,0.868670033,1.224603553,0.393847699,0,1,0.982296577,TRUE,wasser.brief.contextc2.,FALSE,1,0.575693389,0.3,0.3,3,0.783460279,0.409009639,0.235078853
53,1,a,reh+att,contextc2,bauer,nan,0,0,tbr,54,tbf,tbf,tbr,tbr,-1.5,tbf2,test,6,nan,3000,0,147.001,bauer.nan.contextc2.,0.873020477,1.304612482,0.397397256,0,1,0.984793401,TRUE,bauer.versuch.contextc2.,FALSE,1,0.578178079,0.3,0.3,3,0.780241122,0.417469254,0.242342822
54,1,a,reh+att,contextc2,bereich,nan,0,1,tbr,55,tbr,tbf,tbf,tbr,0.5,tbr1,test,7,berg,3000,0,150.001,bereich.nan.contextc2.,0.872203219,1.281365595,0.397397256,0,1,0.986408101,TRUE,bereich.berg.contextc2.,FALSE,1,0.578178079,0.3,0.3,3,0.780217349,0.415877021,0.240219797
55,1,a,reh+att,contextc2,geschichte,nan,0,1,tbr,56,tbf,tbf,tbf,tbr,-2.5,tbf3,test,8,ergebnis,3000,0,153.001,geschichte.nan.contextc2.,0.882829992,1.509095386,0.405185628,0,1,0.987538602,TRUE,geschichte.ergebnis.contextc2.,FALSE,1,0.583629939,0.3,0.3,3,0.773296438,0.436679153,0.261447581
56,1,a,reh+att,contextc2,jugend,nan,0,1,tbr,57,tbr,tbr,tbf,tbf,1.5,tbr2,test,9,general,3000,0,156.001,jugend.nan.contextc2.,0.827706735,0.489397033,0.355227525,0,1,0.988379541,TRUE,jugend.general.contextc2.,FALSE,1,0.576917468,0.3,0.3,3,0.781801539,0.331919702,0.174230256
57,1,a,reh+att,contextc2,schädel,nan,0,1,tbr,58,tbf,tbf,tbr,tbf,-1.5,tbf2,test,10,million,3000,0,159.001,schädel.nan.contextc2.,0.884483531,1.535830106,0.407297198,0,1,0.9890349,TRUE,schädel.million.contextc2.,FALSE,1,0.585108038,0.3,0.3,3,0.771421695,0.439933322,0.264001359
58,1,a,reh+att,contextc2,inhalt,nan,0,1,tbr,59,tbf,tbf,tbf,tbf,-2.5,tbf3,test,11,zweck,3000,0,162.001,inhalt.nan.contextc2.,0.848013887,0.860930376,0.382862442,0,1,0.989564488,TRUE,inhalt.zweck.contextc2.,FALSE,1,0.568003709,0.3,0.3,3,0.793306683,0.369481428,0.203622993
59,1,a,reh+att,contextc2,mädchen,nan,1,1,tbr,60,tbr,tbr,tbf,tbf,1.5,tbr2,test,12,ding,3000,0,165.001,mädchen.nan.contextc2.,0.787181786,0.180582533,0.311273504,0,1,0.990004881,TRUE,mädchen.ding.contextc2.,FALSE,1,0.579462085,0.3,0.3,3,0.778539444,0.262077087,0.15196605
48,1,a,control,contextd1,zweifel,nan,0.5,0,tbr,49,tbf,tbr,tbf,tbf,-0.5,tbf1,test,1,ausblick,3000,60000,132.001,zweifel.nan.contextd1.,0.896131159,1.946309998,0.409483065,0,1,0.89541899,TRUE,zweifel.aussicht.contextd1.,FALSE,1,0.586638146,0.3,0.3,3,0.77503639,0.462958546,0.304738612
49,1,a,control,contextd1,insel,nan,0,0,tbr,50,tbf,tbr,tbf,tbr,-0.5,tbf1,test,2,nan,3000,0,135.001,insel.nan.contextd1.,0.908792579,2.36443878,0.419077045,0,1,0.95095721,TRUE,insel.sofa.contextd1.,FALSE,1,0.593353931,0.3,0.3,3,0.762352299,0.488126871,0.348881734
50,1,a,control,contextd1,karton,nan,0,0,tbr,51,tbf,tbf,tbf,tbr,-2.5,tbf3,test,3,nan,3000,0,138.001,karton.nan.contextd1.,0.870639079,1.278817953,0.393847699,0,1,0.970054627,TRUE,karton.koffer.contextd1.,FALSE,1,0.575693389,0.3,0.3,3,0.783758484,0.412833532,0.239987751
51,1,a,control,contextd1,tag,nan,0,1,tbr,52,tbf,tbr,tbr,tbr,-0.5,tbf1,test,4,wald,3000,0,141.001,tag.nan.contextd1.,0.909672851,2.301249015,0.419792806,0,1,0.978279724,TRUE,tag.wald.contextd1.,FALSE,1,0.597133686,0.3,0.3,3,0.756739872,0.489879593,0.342058752
52,1,a,control,contextd1,waffe,nan,0,1,tbr,53,tbr,tbf,tbf,tbf,0.5,tbr1,test,5,kamin,3000,0,144.001,waffe.nan.contextd1.,0.86616316,1.177133388,0.392148478,0,1,0.982476424,TRUE,waffe.kamin.contextd1.,FALSE,1,0.574503934,0.3,0.3,3,0.784984589,0.404153833,0.230826565
53,1,a,control,contextd1,verhältnis,nan,1,1,tbr,54,tbf,tbr,tbf,tbr,-0.5,tbf1,test,6,titel,3000,0,147.001,verhältnis.nan.contextd1.,0.912451072,2.446290756,0.424476695,0,1,0.98492346,TRUE,verhältnis.titel.contextd1.,FALSE,1,0.597133686,0.3,0.3,3,0.756614894,0.495412476,0.357792664
