,Unnamed: 0,subject,list,trial,stim1,freq,acc,nominal.sp,composition,freq_prioritem1,freq_prioritem,freq_prioritem2,freq_prioritem3,freq_consec_value,freq_consec_lab,source,procedure,duration,onset,testtype,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,wmAvailable,wmSpent,acc_pred
17,434,1,context14,18,lard,low,0,10,mixed,high,high,low,low,0.5,high1,original,test,3000,1299.001,free_recall,context14.lard.,0.45527757600636526,0.3949061716870117,0.4840750626503907,1.0,0.9732953866663862,False,context14.lard.,True,1.0,0.5757112158216862,2.5107339200997845,0.5270686067218867,0.3882589980569592
18,435,1,context14,19,child,high,1,15,mixed,high,high,low,high,0.5,high1,original,test,3000,1302.001,free_recall,context14.child.,0.5684018941778379,0.5041736958516825,0.39666104331865404,1.0,0.9745763465632968,False,context14.child.,True,1.0,0.702504203395159,2.8,0.2875704089533727,0.5171436569441501
19,436,1,context14,20,squint,low,0,8,mixed,low,low,high,high,-0.5,low1,original,test,3000,1305.001,free_recall,context14.squint.,0.36754770640021206,0.3116976325115029,0.5506418939907978,1.0,0.9757288237785017,False,context14.squint.,True,1.0,0.5452044803456402,2.8,0.6424906843376006,0.2955184640700008
20,437,1,context14,21,town,high,0,6,mixed,high,high,low,low,0.5,high1,original,test,3000,1308.001,free_recall,context14.town.,0.45493205648376644,0.40159988270164126,0.478720093838687,1.0,0.9767717254286913,False,context14.town.,True,1.0,0.6409599296189383,2.8,0.44089845281043377,0.387876516243909
21,438,1,context14,22,night,high,0,5,mixed,low,low,low,low,-2.5,low3,original,test,3000,1311.001,free_recall,context14.night.,0.4443016942206196,0.39283428580415686,0.48573257135667447,1.0,0.9777203775658949,False,context14.night.,True,1.0,0.6357005714824941,2.8,0.4538950299536419,0.376163789822337
22,439,1,context14,23,form,high,0,14,mixed,low,low,high,high,-0.5,low1,original,test,3000,1314.001,free_recall,context14.form.,0.4934134498890328,0.4391385275639406,0.44868917794884755,1.0,0.9785873405905352,False,context14.form.,True,1.0,0.6619225701125433,2.8,0.3880313055493544,0.43106039777737915
23,440,1,context14,24,girl,high,1,12,mixed,high,high,low,high,0.5,high1,original,test,3000,1317.001,free_recall,context14.girl.,0.4691892559559332,0.4176511452772454,0.4658790837782038,1.0,0.9793830105518334,False,context14.girl.,True,1.0,0.6505906871663473,2.8,0.41735559401625577,0.40374509717215434
24,441,1,context14,25,mash,low,1,2,mixed,high,high,nan,nan,0.5,high1,original,test,3000,1320.001,free_recall,context14.mash.,0.41919200988597316,0.3723679893862959,0.5021056084909633,1.0,0.9801160693873133,False,context14.mash.,True,1.0,0.542496334847165,2.8,0.5956304041116607,0.3489635549040976
25,442,1,context14,26,wad,low,0,3,mixed,low,low,high,nan,-0.5,low1,original,test,3000,1323.001,free_recall,context14.wad.,0.41818990113053034,0.3723679893862959,0.5021056084909633,1.0,0.9807938267398213,False,context14.wad.,True,1.0,0.518046774077944,2.8,0.6332830672389552,0.34789288275811836
27,444,1,context14,28,son,high,1,11,mixed,low,low,high,low,-0.5,low1,original,test,3000,1329.001,free_recall,context14.son.,0.43835788732133446,0.39283428580415686,0.48573257135667447,1.0,0.9820073323289662,False,context14.son.,True,1.0,0.6357005714824941,2.8,0.45378453684267483,0.3696634045947697
28,445,1,context14,29,cache,low,0,13,mixed,high,high,high,low,1.5,high2,original,test,3000,1332.001,free_recall,context14.cache.,0.4188613495631849,0.3738810856178302,0.5008951315057358,1.0,0.9825529258675523,False,context14.cache.,True,1.0,0.5247829654323719,2.8,0.6214233766345805,0.34861013764516924
29,446,1,context14,30,slime,low,0,7,mixed,high,high,high,low,1.5,high2,original,test,3000,1335.001,free_recall,context14.slime.,0.4146678521000087,0.3723679893862959,0.5021056084909633,1.0,0.9830631965004183,False,context14.slime.,True,1.0,0.5281697365491065,2.8,0.6173962051843707,0.34413951986436214
