,composition,duration,freq,list,onset,procedure,sp,stim1,stim2,subject,trial,testtype,epiname,reduce_wm,stim1.semB,stim1.semA,list.semB,list.semA,stim2.semB,stim2.semA,epiA,epiB,retrievedName,sameNode,relatedNode,wmSpent,epiS,wmAvailable,acc_pred,acc,experiment
252,Pure LF,10000,LF,context2,388.001,study,1,retching,position_1,5,1,,retching.context2.position_1.,False,0.2072647729301893,1.0,1.0,1.0,0.99,1.0,0.0,0.0,retching.context2.position_1.,True,True,1.4306633177166488,0.6854476355393495,3.6137890624999995,0.07195740569505976,,
253,Pure LF,1000,LF,context2,389.001,study,2,buggery,position_2,5,2,,buggery.context2.position_2.,False,0.2019900332501664,1.0,1.0,1.0,0.99,1.0,0.0,0.0,buggery.context2.position_2.,True,True,1.1722776426726274,0.5582431833287418,2.620305920564601,0.07195740569505976,,
254,Pure LF,1000,LF,context2,390.001,study,3,californium,position_3,5,3,,californium.context2.position_3.,False,0.20159361703258788,1.0,1.0,1.0,0.99,1.0,0.0,0.0,californium.context2.position_3.,True,True,0.9744364210123372,0.44273081430508215,1.8852084536732239,0.07195740569505976,,
255,Pure LF,1000,LF,context2,391.001,study,4,pseudopsychological,position_4,5,4,,pseudopsychological.context2.position_4.,False,0.2003996002665334,1.0,1.0,1.0,0.99,1.0,0.0,0.0,pseudopsychological.context2.position_4.,True,True,0.8309599327681232,0.33356228044471464,1.3479522084421367,0.07195740569505976,,
256,Pure LF,1000,LF,context2,392.001,study,5,amusing,position_5,5,5,,amusing.context2.position_5.,False,0.3202961917830972,1.0,1.0,1.0,0.99,1.0,0.0,0.0,amusing.context2.position_5.,True,True,0.5823817408914861,0.2828682308915597,0.9541724514552635,0.07195740569505976,,
257,Pure LF,1000,LF,context2,393.001,study,6,beguine,position_6,5,6,,beguine.context2.position_6.,False,0.2049380175943335,1.0,1.0,1.0,0.99,1.0,0.0,0.0,beguine.context2.position_6.,True,True,0.6798104197550586,0.1667246098119655,0.8089708863450275,0.07195740569505976,,
258,Pure LF,500,LF,context2,393.501,test,1,nan,position_1,5,7,,nan.context2.position_1.,False,0.99,0.99,1.0,1.0,0.9951912896177971,1.0,1.181326534436612,0.4893841263353962,retching.context2.position_1.,False,True,0.06159568492649559,0.0,0.34775055448059383,0.8855977461477462,0.83,1.0
259,Pure LF,500,LF,context2,394.001,test,2,nan,position_2,5,8,,nan.context2.position_2.,False,0.99,0.99,1.0,1.0,0.9942928428023105,1.0,0.8300298394682624,0.40434884188538833,buggery.context2.position_2.,False,True,0.0894032906125647,0.0,0.5047449574447233,0.6594624891965637,0.65,1.0
260,Pure LF,500,LF,context2,394.501,test,3,nan,position_3,5,9,,nan.context2.position_3.,False,0.99,0.99,1.0,1.0,0.9934585231026204,1.0,0.6124073368748842,0.32574253066923287,californium.context2.position_3.,False,True,0.11228601221857774,0.0,0.6339317547227836,0.46815380800723405,0.48,1.0
261,Pure LF,500,LF,context2,395.001,test,4,nan,position_4,5,10,,nan.context2.position_4.,False,0.99,0.99,1.0,1.0,0.992651314707349,1.0,0.44097732634093034,0.2496676845081515,pseudopsychological.context2.position_4.,False,True,0.13111589712550786,0.0,0.7402358303948309,0.3203860125030476,0.35,1.0
262,Pure LF,500,LF,context2,395.501,test,5,nan,position_5,5,11,,nan.context2.position_5.,False,0.99,0.99,1.0,1.0,0.9922518842684483,1.0,0.3628302139481042,0.21577738313177303,amusing.context2.position_5.,False,True,0.1466081604771348,0.0,0.827710021159948,0.26014377442803055,0.27,1.0
263,Pure LF,500,LF,context2,396.001,test,6,nan,position_6,5,12,,nan.context2.position_6.,False,0.99,0.99,1.0,1.0,0.9913785236476801,1.0,0.21015249991497725,0.12990591052320094,beguine.context2.position_6.,False,True,0.1593589238101688,0.0,0.8996919485734383,0.16174551375371055,0.45,1.0
264,Mixed HHHLLL,10000,HF,context3,406.001,study,1,try,position_1,5,1,,try.context3.position_1.,False,0.4,1.0,1.0,1.0,0.99,1.0,0.0,0.0,try.context3.position_1.,True,True,1.1070776699189926,0.7344920078415011,3.6137890624999995,0.07195740569505976,,
265,Mixed HHHLLL,1000,HF,context3,407.001,study,2,having,position_2,5,2,,having.context3.position_2.,False,0.3999999999999452,1.0,1.0,1.0,0.99,1.0,0.0,0.0,having.context3.position_2.,True,True,0.9532834813400592,0.6545273356791544,2.943891568362257,0.07195740569505976,,
266,Mixed HHHLLL,1000,HF,context3,408.001,study,3,jail,position_3,5,3,,jail.context3.position_3.,False,0.39982875887593355,1.0,1.0,1.0,0.99,1.0,0.0,0.0,jail.context3.position_3.,True,True,0.8350174207575807,0.5854793141942429,2.427788262803448,0.07195740569505976,,
267,Mixed HHHLLL,1000,LF,context3,409.001,study,4,instills,position_4,5,4,,instills.context3.position_4.,False,0.20159361703258788,1.0,1.0,1.0,0.99,1.0,0.0,0.0,instills.context3.position_4.,True,True,1.013518842525466,0.4677072577444329,2.029951017827117,0.07195740569505976,,
268,Mixed HHHLLL,1000,LF,context3,410.001,study,5,sought,position_5,5,5,,sought.context3.position_5.,False,0.2751244843177178,1.0,1.0,1.0,0.99,1.0,0.0,0.0,sought.context3.position_5.,True,True,0.7609858411753242,0.38608636292953946,1.453612351082901,0.07195740569505976,,
269,Mixed HHHLLL,1000,LF,context3,411.001,study,6,powermonger,position_6,5,6,,powermonger.context3.position_6.,False,0.2007984021312017,1.0,1.0,1.0,0.99,1.0,0.0,0.0,powermonger.context3.position_6.,True,True,0.7714861854849516,0.2776967102847479,1.129806685688827,0.07195740569505976,,
270,Mixed HHHLLL,500,HF,context3,411.501,test,1,nan,position_1,5,7,,nan.context3.position_1.,False,0.99,0.99,1.0,1.0,0.9954196620568273,1.0,1.2658514716620957,0.5243999846538374,try.context3.position_1.,False,True,0.10217952101629525,0.0,0.5769105880945002,0.9183583541065459,0.92,1.0
271,Mixed HHHLLL,500,HF,context3,412.001,test,2,nan,position_2,5,8,,nan.context3.position_2.,False,0.99,0.99,1.0,1.0,0.994899706892664,1.0,0.9731909597567439,0.47408974810238175,having.context3.position_2.,False,True,0.12279780602880312,0.0,0.6933211549688301,0.7685062411250554,0.81,1.0
272,Mixed HHHLLL,500,HF,context3,412.501,test,3,nan,position_3,5,9,,nan.context3.position_3.,False,0.99,0.99,1.0,1.0,0.9944520932286631,1.0,0.8098641793520045,0.43077081444956555,jail.context3.position_3.,False,True,0.13976413439838906,0.0,0.789113436830652,0.6426336385076864,0.68,1.0
273,Mixed HHHLLL,500,LF,context3,413.001,test,4,nan,position_4,5,10,,nan.context3.position_4.,False,0.99,0.99,1.0,1.0,0.9937168558943175,1.0,0.6183202002199182,0.35007371910584995,instills.context3.position_4.,False,True,0.15372698210763636,0.0,0.867939390322888,0.47346065130195875,0.45,1.0
274,Mixed HHHLLL,500,LF,context3,413.501,test,5,nan,position_5,5,11,,nan.context3.position_5.,False,0.99,0.99,1.0,1.0,0.9930925746824782,1.0,0.49522633638513025,0.2945141799530581,sought.context3.position_5.,False,True,0.1652161192608557,0.0,0.9328024961058767,0.36533068101444455,0.34,1.0
275,Mixed HHHLLL,500,LF,context3,414.001,test,6,nan,position_6,5,12,,nan.context3.position_6.,False,0.99,0.99,1.0,1.0,0.9922975831313966,1.0,0.3500302561830717,0.2163714405421192,powermonger.context3.position_6.,False,True,0.17467096745173558,0.0,0.9861764647356461,0.2508631267707913,0.54,1.0
276,Mixed LLLHHH,10000,LF,context4,424.001,study,1,beeps,position_1,5,1,,beeps.context4.position_1.,False,0.25183635586365644,1.0,1.0,1.0,0.99,1.0,0.0,0.0,beeps.context4.position_1.,True,True,1.3498699812753698,0.6980159668225644,3.6137890624999995,0.07195740569505976,,
277,Mixed LLLHHH,1000,LF,context4,425.001,study,2,cuckolds,position_2,5,2,,cuckolds.context4.position_2.,False,0.2003996002665334,1.0,1.0,1.0,0.99,1.0,0.0,0.0,cuckolds.context4.position_2.,True,True,1.1967039403266109,0.5690047521059027,2.70109925700588,0.07195740569505976,,
278,Mixed LLLHHH,1000,LF,context4,426.001,study,3,dodos,position_3,5,3,,dodos.context4.position_3.,False,0.2007984021312017,1.0,1.0,1.0,0.99,1.0,0.0,0.0,dodos.context4.position_3.,True,True,0.9908248803741133,0.4523433540528492,1.9415754924605189,0.07195740569505976,,
